epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
168,0.483194795807734,0.4875406283856988,0.3747743822266928,0.37698412132126813,1.15,0.001,21,37,56,74,91,108,123,148,160,182
169,0.4834357306348633,0.4886240520043337,0.3750948821270619,0.37822674679983503,1.15,0.001,21,37,56,74,91,108,124,148,160,181
170,0.48415853511625107,0.48970747562296857,0.375932272844826,0.37929424530793787,1.16,0.001,21,37,56,74,91,108,124,148,160,181
171,0.4843994699433803,0.48970747562296857,0.37643658642791444,0.379699875721096,1.17,0.001,21,37,55,74,91,108,124,148,160,181
172,0.4840380677026864,0.49295774647887325,0.3761492412206131,0.38422018243997436,1.17,0.001,21,37,55,74,91,108,124,148,160,181
173,0.4850018070112035,0.49295774647887325,0.3774742450636668,0.38423773825356977,1.18,0.001,21,37,55,74,91,108,124,148,160,181
174,0.48560414407902663,0.49512459371614304,0.37825424066582014,0.38678878102817293,1.19,0.001,21,37,56,74,91,108,124,148,160,181
175,0.4868088182146729,0.4962080173347779,0.3797795881740086,0.38810468493154593,1.19,0.001,21,37,56,74,91,108,124,148,160,181
176,0.48777255752319,0.49945828819068255,0.38125883781915537,0.39237811611652973,1.2,0.001,21,37,55,74,92,108,124,148,160,181
177,0.4889772316588363,0.49945828819068255,0.38303306148505323,0.3929472861529525,1.21,0.001,21,37,55,74,92,108,124,148,160,181
178,0.4890976990724009,0.49945828819068255,0.3831876684703238,0.3929472861529525,1.22,0.001,21,37,55,74,92,108,124,148,160,181
179,0.48885676424527164,0.5005417118093174,0.3826982020415447,0.39377451420381293,1.22,0.001,21,37,55,74,92,108,124,148,160,181
180,0.4893386338995302,0.5005417118093174,0.3833040804772395,0.39377451420381293,1.23,0.001,21,37,55,74,92,108,124,148,160,181
181,0.4905433080351765,0.5005417118093174,0.3850532587347094,0.39409909364698514,1.24,0.001,21,37,55,74,91,108,124,148,160,181
182,0.4917479821708228,0.5005417118093174,0.3867012418391692,0.39450432951254744,1.24,0.001,21,37,55,74,91,108,124,148,160,181
183,0.493314058547163,0.5016251354279523,0.3886989372898608,0.39557521997913025,1.25,0.001,21,37,55,74,91,108,124,148,160,181
184,0.4939163956149861,0.5070422535211268,0.3895224781852217,0.4026246875964593,1.26,0.001,21,37,55,74,91,108,124,148,160,181
185,0.49403686302855077,0.5070422535211268,0.38985815456006223,0.40294401564985716,1.27,0.001,21,37,55,74,91,108,125,148,160,181
186,0.49512106975063247,0.5081256771397616,0.3913334446993062,0.4043358299442633,1.27,0.001,21,37,55,74,91,108,125,148,160,181
187,0.49500060233706783,0.5081256771397616,0.3912631269403626,0.40465403068494865,1.28,0.001,21,37,55,74,91,108,125,148,160,181
188,0.4952415371641971,0.5081256771397616,0.3915427511000794,0.4044949728212599,1.29,0.001,21,37,55,74,91,108,125,148,160,181
189,0.49584387423202025,0.5081256771397616,0.3920705754713162,0.4043459905415644,1.29,0.001,21,37,55,74,91,108,125,148,160,181
190,0.4962052764727141,0.5113759479956663,0.3925880863475534,0.4083610837515439,1.3,0.001,21,37,55,74,91,108,125,148,160,181
191,0.49753041802192505,0.5113759479956663,0.3945047846464885,0.4085191273990063,1.31,0.001,21,37,55,74,91,108,125,148,160,181
192,0.4980122876761836,0.5124593716143012,0.39532829949922066,0.4100669968454528,1.31,0.001,21,37,55,74,91,108,125,148,160,181
193,0.49909649439826526,0.5124593716143012,0.39679886516483676,0.41014574874637333,1.32,0.001,21,37,55,74,91,108,125,148,160,181
194,0.49981929887965304,0.5124593716143012,0.3976877270625345,0.41030318948810596,1.33,0.001,21,37,55,74,91,108,125,148,160,181
195,0.4996988314660884,0.5135427952329361,0.3973441367193541,0.41122074231930394,1.33,0.001,21,37,55,74,91,108,125,149,160,181
196,0.4999397662932177,0.5135427952329361,0.39756994326493345,0.4112859807401915,1.34,0.001,21,37,55,74,91,108,125,149,160,181
197,0.5009035056017347,0.5135427952329361,0.3989563759374528,0.4114531927010182,1.35,0.001,21,37,55,74,91,108,125,149,160,181
198,0.5003011685339116,0.514626218851571,0.39854357352499126,0.41284236922557005,1.36,0.001,21,37,55,74,91,108,125,149,160,181
199,0.5005421033610409,0.514626218851571,0.39884148943473086,0.41284236922557005,1.36,0.001,21,37,55,74,91,108,125,149,160,181
200,0.5010239730152993,0.514626218851571,0.39932261992970364,0.41276398737206266,1.37,0.001,21,37,55,74,91,108,125,149,160,181
201,0.5013853752559932,0.5135427952329361,0.39969819833136355,0.4112173963695053,1.38,0.001,22,37,55,74,91,108,125,149,160,181
202,0.5012649078424286,0.5135427952329361,0.3995966555472127,0.4112173963695053,1.38,0.001,22,37,55,74,91,108,125,149,160,181
203,0.5013853752559932,0.5124593716143012,0.399955821675703,0.40998487140695905,1.39,0.001,22,37,55,74,91,108,125,149,160,181
204,0.5015058426695579,0.5135427952329361,0.4002586412848752,0.41153174951401994,1.4,0.001,22,37,55,74,91,108,125,149,160,181
205,0.5015058426695579,0.5135427952329361,0.40025709150528954,0.4114531927010182,1.4,0.001,22,37,55,74,91,108,125,149,160,181
206,0.5017467774966872,0.5124593716143012,0.40039957950874805,0.4100636452342773,1.41,0.001,22,37,55,74,91,108,125,149,160,181
207,0.5016263100831225,0.5124593716143012,0.4002122480525896,0.4100636452342773,1.42,0.001,22,37,55,74,91,108,125,149,160,181
208,0.5018672449102518,0.5124593716143012,0.40073887718064627,0.41022112980246983,1.42,0.001,22,37,55,74,91,108,125,149,160,181
209,0.5012649078424286,0.5124593716143012,0.4001841957260496,0.4106144736113929,1.43,0.001,22,37,55,74,91,108,125,149,160,181
