epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
107,0.4623539332610529,0.4257854821235103,0.33960261140961634,0.3017087929107434,0.78,0.001,9,16,25,30,37,46,54,61,65,77,84,91,96,108,110,118,131,140,148,154,160,165,176,182,191
108,0.4625948680881821,0.4257854821235103,0.3400104615905478,0.3017087929107434,0.78,0.001,9,16,25,30,37,46,54,61,65,77,84,91,96,108,110,118,131,140,148,154,160,165,176,182,191
109,0.4625948680881821,0.4268689057421452,0.34002921099360073,0.30307904870926017,0.79,0.001,9,16,25,30,37,46,54,61,65,77,84,91,96,108,110,118,131,140,148,154,160,165,176,182,191
110,0.4631972051560053,0.4268689057421452,0.3408267930446579,0.30307904870926017,0.8,0.001,9,16,24,30,37,46,54,61,65,77,84,91,96,108,110,118,131,140,148,154,160,165,176,182,191
111,0.4635586073966992,0.42903575297941493,0.3413035777794118,0.30584766696967924,0.8,0.001,9,16,24,30,37,46,54,61,65,77,84,91,96,108,110,118,131,140,148,154,160,165,176,182,191
112,0.4635586073966992,0.4301191765980498,0.3413480845910244,0.3072172421567535,0.81,0.001,9,16,24,30,37,46,54,61,65,77,84,91,96,108,110,118,131,140,148,154,160,165,176,182,191
113,0.46379954222382846,0.4301191765980498,0.34165383273803573,0.3072172421567535,0.82,0.001,9,16,24,30,37,46,54,61,65,77,84,92,96,108,110,118,131,140,148,154,160,165,176,182,191
114,0.46379954222382846,0.4301191765980498,0.34170050552817266,0.3072172421567535,0.83,0.001,9,16,24,30,37,46,54,61,65,77,84,92,97,108,110,118,131,140,148,154,160,165,176,182,191
115,0.46379954222382846,0.4301191765980498,0.341710428068026,0.3072172421567535,0.83,0.001,9,16,24,30,37,46,54,61,65,77,84,92,97,108,110,118,131,140,148,154,160,165,176,182,191
116,0.4640404770509577,0.4312026002166847,0.34206278225350006,0.30856293243800503,0.84,0.001,9,16,24,30,37,46,54,61,65,77,84,92,97,108,110,118,131,140,148,154,160,165,176,182,191
117,0.46416094446452233,0.4312026002166847,0.34223864954837624,0.30856293243800503,0.85,0.001,9,16,24,30,37,46,54,61,65,77,84,92,97,108,110,118,131,140,148,154,160,165,176,182,191
118,0.46428141187808697,0.4322860238353196,0.34240735623528396,0.30990851135475106,0.86,0.001,9,16,24,30,37,46,54,61,65,77,84,92,97,108,110,118,131,140,148,154,160,165,176,182,191
119,0.46428141187808697,0.4333694474539545,0.34241392789201897,0.31127756257980754,0.86,0.001,9,16,24,30,37,46,54,61,65,77,84,92,97,108,110,118,131,140,148,154,160,165,176,182,191
120,0.4644018792916516,0.4333694474539545,0.34261841962859274,0.31127756257980754,0.87,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,131,140,148,154,160,165,176,182,191
121,0.46452234670521625,0.4322860238353196,0.3427976045864951,0.3101299857219677,0.88,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,132,140,148,154,160,165,176,182,191
122,0.46452234670521625,0.4322860238353196,0.34283980079991005,0.3101299857219677,0.88,0.001,9,16,24,30,37,46,54,61,65,77,84,91,97,108,110,118,132,140,148,154,160,165,176,182,191
123,0.4647632815323455,0.4322860238353196,0.34314538304565734,0.3101299857219677,0.89,0.001,9,16,24,30,37,46,54,61,64,77,84,91,97,108,111,118,132,140,148,154,160,165,176,182,191
124,0.46524515118660403,0.4322860238353196,0.3437537616963545,0.3101299857219677,0.9,0.001,9,16,24,30,37,46,54,61,64,77,84,91,97,108,111,118,132,140,148,154,160,165,176,182,191
125,0.46548608601373326,0.4322860238353196,0.3440593176439274,0.3101821345542195,0.91,0.001,9,16,24,30,37,46,54,61,64,77,84,91,97,108,111,118,132,140,148,154,160,165,176,182,191
126,0.4656065534272979,0.4333694474539545,0.34426491192989117,0.31152705734362685,0.91,0.001,9,16,24,30,37,46,54,61,64,77,84,91,98,108,111,118,132,140,148,154,160,165,176,182,191
127,0.46608842308155646,0.4333694474539545,0.34491148015012274,0.31152705734362685,0.92,0.001,9,16,24,30,37,46,54,61,64,77,84,92,98,108,111,118,132,140,148,154,160,165,175,182,191
128,0.4666907601493796,0.4333694474539545,0.345706085054461,0.31152705734362685,0.93,0.001,9,16,24,30,37,46,54,61,64,77,84,92,98,108,111,118,132,140,148,154,160,165,175,182,191
129,0.46705216239007347,0.4344528710725894,0.34621495100158095,0.3129198830067439,0.93,0.001,9,16,24,30,37,46,54,61,64,77,84,92,98,108,111,118,132,140,148,154,160,165,175,182,191
130,0.4671726298036381,0.4344528710725894,0.3464110091366185,0.3129198830067439,0.94,0.001,9,16,24,30,37,46,53,61,64,77,84,92,98,108,111,118,132,140,148,154,160,165,175,182,191
131,0.467534032044332,0.4355362946912243,0.346884177438341,0.3143123988507305,0.95,0.001,9,16,24,30,37,46,53,61,64,77,84,92,98,108,111,118,132,140,148,154,160,165,175,182,191
132,0.4678954342850259,0.4355362946912243,0.34736724646420525,0.3143123988507305,0.96,0.001,9,16,24,30,37,46,53,61,64,77,84,92,98,108,111,118,132,140,148,154,160,165,175,182,191
133,0.4682568365257198,0.4355362946912243,0.3478451145286888,0.3143123988507305,0.96,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,154,160,165,175,182,191
134,0.46837730393928445,0.43661971830985913,0.3480325941050989,0.3157046049789489,0.97,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,154,160,165,175,182,191
135,0.4689796410071076,0.4387865655471289,0.3488357078297636,0.3185638523032893,0.98,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,154,160,165,175,182,191
136,0.46958197807493074,0.4398699891657638,0.3496584743305394,0.3200576793467187,0.98,0.001,9,16,24,30,37,46,53,61,64,77,84,91,98,108,111,118,132,140,148,154,160,165,175,182,191
