epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
169,0.6912935215967597,0.6978998687079527,43.125839269460165,42.06586632146068,2.19,0.001,588,1382,2018,2756,3461
170,0.6929798846912085,0.6999816742951077,43.007885586904294,41.92067384367542,2.2,0.001,587,1382,2018,2757,3461
171,0.6944831189094067,0.7016021644809216,42.90246876546704,41.80730886123562,2.21,0.001,587,1381,2019,2758,3461
172,0.6958514847118014,0.702444988776869,42.80628376403983,41.74822519150515,2.22,0.001,587,1381,2020,2759,3461
173,0.6971533534364542,0.7046825341784797,42.714572079897394,41.59096035677029,2.23,0.001,586,1380,2021,2759,3461
174,0.6984098003472167,0.7047080915130854,42.625873456043394,41.589161150416494,2.24,0.001,586,1380,2022,2760,3461
175,0.699666571403668,0.7074222029519763,42.53696835410126,41.39759196036875,2.26,0.001,586,1379,2023,2760,3461
176,0.7008835221345279,0.7068636273839286,42.45070095674216,41.43708904632192,2.27,0.001,585,1379,2024,2761,3461
177,0.7022138824733246,0.7100072012039562,42.35619051567315,41.21430599384985,2.28,0.001,585,1378,2025,2762,3461
178,0.7036605360881567,0.70956725798152,42.25318382049748,41.245556401284766,2.29,0.001,584,1378,2026,2762,3461
179,0.7051788809557579,0.7128750603478075,42.14479899146809,41.010008544028004,2.3,0.001,584,1377,2026,2763,3461
180,0.7067620716538525,0.7128149657503916,42.031485245624204,41.01429759756803,2.31,0.001,584,1377,2027,2763,3461
181,0.7083980706411102,0.7158251681579263,41.91407487767758,40.7987809541382,2.33,0.001,583,1376,2027,2763,3461
182,0.7099755406390924,0.7162993305353602,41.8005489039543,40.764729651915395,2.34,0.001,583,1376,2028,2764,3461
183,0.7114815188385393,0.7184669756579385,41.691881856007804,40.6086971494985,2.35,0.001,583,1375,2028,2764,3461
184,0.7128643364142198,0.7194816108103275,41.59184965841039,40.53545419598749,2.36,0.001,582,1375,2028,2765,3461
185,0.7141418559446362,0.7207838785327325,41.49922050755141,40.441255138626694,2.37,0.001,582,1374,2027,2765,3461
186,0.7153299301345948,0.7223562816730421,41.41289598786304,40.327221452005126,2.38,0.001,582,1374,2027,2765,3461
187,0.7164477581369829,0.7229443089550092,41.3315038788891,40.284496996266284,2.39,0.001,581,1373,2027,2765,3461
188,0.7174966502799097,0.7249090154116535,41.2549875654258,40.14140350549075,2.41,0.001,581,1373,2026,2766,3461
189,0.718448153255382,0.72474527148693,41.18545494733244,40.1533483265834,2.42,0.001,581,1372,2026,2766,3461
190,0.7192661221862818,0.7270597173864489,41.12558474603279,39.984182663664015,2.43,0.001,581,1372,2025,2766,3461
191,0.7199406909565029,0.7259588355241099,41.076144339373705,40.06473643328694,2.44,0.001,580,1371,2025,2766,3461
192,0.7204745829067458,0.7286896326771989,41.03697509801755,39.864613103975906,2.45,0.001,580,1371,2024,2766,3461
193,0.7208887985854051,0.7265720976908507,41.00655852173985,40.01988183869128,2.46,0.001,580,1370,2024,2766,3461
194,0.7214941642915476,0.730075198031636,40.962064731533154,39.7626902158685,2.47,0.001,579,1370,2024,2766,3461
195,0.7226196400186541,0.7282749411335874,40.879213635072226,39.895069584454134,2.49,0.001,579,1369,2023,2766,3461
196,0.724429862290322,0.7328991361752393,40.745602235854854,39.55414819773569,2.5,0.001,579,1369,2023,2766,3461
197,0.726781209982498,0.7330319219434415,40.571396426642906,39.544314479039684,2.51,0.001,578,1368,2023,2766,3461
198,0.7291411237192383,0.7367220732497985,40.395798749877756,39.270062609866216,2.52,0.001,578,1368,2023,2766,3461
199,0.7311982793113901,0.7384266539446733,40.24210787339239,39.14273010806094,2.53,0.001,578,1367,2023,2766,3461
200,0.733324427114849,0.739824111696094,40.08263863472408,39.03803139898082,2.54,0.001,577,1367,2023,2766,3461
201,0.7360576366883418,0.7439719214563054,39.87670206006886,38.72560345922643,2.55,0.001,577,1366,2023,2766,3461
202,0.7379885722216037,0.7447296799121428,39.730569949052615,38.668252671260404,2.57,0.001,577,1366,2023,2766,3461
203,0.7397175644647942,0.7476004848895557,39.599263687224195,38.450204328333875,2.58,0.001,576,1365,2023,2766,3461
204,0.7405473924496588,0.7483245788507529,39.536086969394965,38.39501113273458,2.59,0.001,576,1365,2024,2766,3461
205,0.7407404427647291,0.7474300671534149,39.52137506355343,38.46318215951376,2.6,0.001,576,1364,2024,2766,3461
206,0.741187043586341,0.7490596599692375,39.4873242863691,38.338897920388895,2.61,0.001,575,1364,2024,2766,3461
207,0.7421953078025778,0.7490831262160014,39.410331060978635,38.33710529732422,2.62,0.001,575,1363,2024,2765,3461
208,0.7432506146688533,0.7509054870911894,39.32958690667879,38.1976334882354,2.64,0.001,575,1363,2024,2765,3461
209,0.7440142132662562,0.7523335174418752,39.27105886595274,38.08798472061925,2.65,0.001,575,1363,2024,2765,3461
210,0.7449119394679689,0.7524463667116075,39.20213791603081,38.07930791658706,2.66,0.001,574,1362,2024,2765,3461
211,0.746319360211176,0.7545716125802518,39.09384211370043,37.91549924513473,2.67,0.001,574,1362,2024,2765,3461
212,0.7478631786638673,0.7552208521166013,38.974701329837025,37.86531693466331,2.68,0.001,574,1361,2024,2764,3460
213,0.749131224311701,0.7560293941832166,38.87657471438858,37.802728269907156,2.69,0.001,573,1361,2024,2764,3460
214,0.7502564975186353,0.757542504437232,38.789286725182734,37.68531846142557,2.7,0.001,573,1361,2024,2764,3460
215,0.7514933092342012,0.7580153244366419,38.69311758740581,37.64855503587173,2.72,0.001,573,1360,2023,2764,3460
216,0.7527648343551526,0.7599051205743427,38.59400145414035,37.501258116916055,2.73,0.001,572,1360,2023,2764,3460
217,0.7537350485305689,0.7610488891218237,38.51819844343872,37.41182667807902,2.74,0.001,572,1359,2023,2763,3460
218,0.7545135349590247,0.7613709671187893,38.45727070297468,37.38660590079353,2.75,0.001,572,1359,2023,2763,3461
219,0.7553608011821676,0.7626970322955517,38.39084916753845,37.28258098263266,2.76,0.001,571,1359,2023,2763,3461
220,0.7562561099447974,0.7628797353221086,38.320531504216184,37.268225800229274,2.77,0.001,571,1358,2023,2763,3461
221,0.7570865626884907,0.7636043956732681,38.25519681047024,37.21123356353982,2.79,0.001,571,1358,2023,2762,3461
222,0.7578796691382313,0.7646672429145744,38.19269412813955,37.12748900010779,2.8,0.001,570,1358,2023,2762,3461
223,0.7587391692810439,0.7650480248650426,38.12484471023702,37.097440515127694,2.81,0.001,570,1357,2023,2762,3461
